ID,Title,Authors,Year,Venue
43,MolmoAct: Action Reasoning Models that can Reason in Space,"Jason Lee, Jiafei Duan, Haoquan Fang, Deng, Yuquan, Shuo Liu, B. Li, Bohan Fang, Jieyu Zhang, Yi Ru Wang, Sang-Ho Lee, Winson Han, Wilbert Pumacay, A. Wu, Rose Hendrix, K. Farley, Eli VanderBilt, Ali Farhadi, Dieter Fox, Ranjay Krishna (less)",2025,ArXiv.org
44,Safety-by-Design Methodology for Simulation-Based Dataset Creation and AI Model Development: Applying Selected Objectives of the EASA Guidance for Level 1 & 2 Machine Learning Applications to a Runway Object Detection Use Case,"Randolf, Mina",2026,elib (German Aerospace Center)
45,Skill Without Training: Deterministic Knowledge Navigation for Large Language Models over Structured Documents,"Chudinov, Yurii",2026,Open MIND
46,Optimizing Generative AI's Accuracy and Transparency in Inductive Thematic Analysis: A Human-AI Comparison,"Nyaaba, Matthew, SungEun, Min, Apam, Mary Abiswin, Acheampong, Kwame Owoahene, Dwamena, Emmanuel",2025,ArXiv.org
47,"A Comprehensive Study of LLM and Evolution, Varieties, and Their Role in Software Engineering and Cybersecurity","Hossain Rasel, Abu Bakar Siddik Didar, Abdullah Al Mamun Dinar, Foisal Islam Fahad, Mohammed Al Junied Khan, Badiuzzaman Biplob (less)",2025,Preprints.org
48,GroUSE: A Benchmark to Evaluate Evaluators in Grounded Question Answering,"Muller, Sacha, Ant¢nio Loison, Bilel Omrani, Gautier Viaud",2024,arXiv (Cornell University)
49,Cognitive bias in LLM reasoning compromises interpretation of clinical oncology notes,"Matthew W. Kenaston, Umair Ayub, Mihir Parmar, Muhammad Umair Anjum, Syed Arsalan Ahmed Naqvi, Priyadarshini Kumar, Samarth Rawal, Aadel A. Chaudhuri, Yousef Zakharia, E. Heath, Tanios Bekaii?Saab, Tao, Cui, Eliezer M. Van Allen, Ben Zhou, Choi Yoojung, Chitta Baral, Irbaz Bin Riaz (less)",2025,ArXiv.org
50,Right for the Wrong Reasons: Epistemic Regret Minimization for Causal Rung Collapse in LLMs,"Chang, Edward Y.",2026,ArXiv.org
51,Toward smart health monitoring: multimodal sensing and intelligent disease diagnosis in poultry and livestock,"Juncheng Ma, Xiao Yang, Yu Liu, Peiguang Xin, Qin Tong, Chao Liang, Ligen Yu, Aiqiao Liu, Chaoyuan Wang (less)",2026,Animal Frontiers
52,"Evaluating LLMs on Arabic Reading Comprehension: Errors, Hallucinations, and Factual Inconsistencies","Najwa AlGhamdi, Sadam Al-Azani, Kwabena Nuamah, Alan Bundy",2026,Procedia Computer Science
53,"Editorial: GenAI in healthcare: technologies, applications and evaluation","Tim Hulsen, Mark C. Scheper, Steffen C. Pauws",2026,Frontiers in Artificial Intelligence
54,ESGReveal: An LLM-based approach for extracting structured data from ESG reports,"Yi Zou, Mengying Shi, Zhongjie Chen, Zhu Deng, Zongxiong Lei, Zihan Zeng, Shiming Yang, Hongxiang Tong, Lei Xiao, Wenwen Zhou (less)",2024,Journal of Cleaner Production
55,A Comparison of a Large Language Model vs Manual Chart Review for the Extraction of Data Elements From the Electronic Health Record,"Jin Ge, Michael Li, Molly B. Delk, Jennifer C. Lai",2023,Gastroenterology
56,AzureIQ-RAG: Hybrid RAG System for Automated Information Retrieval and Semantic Query Answering Using Azure AI,"Ishtiaque Mahmood, Mahammad Mastan, Zunysha Naveed, Hamza Iftikhar, Wakeel Ahmad, Syed M. Adnan (less)",2025,"Oman Medical College, University of Engineering and Technology Taxila"
57,Performance of the ChatGPT Large Language Model for Decision Support in Community Pharmacy,"Euibeom Shin, Maggie Hartman, Murali Ramanathan",2024,"University at Buffalo, State University of New York"
58,A Multimodal Retrieval-Augmented Generation System with ReAct Agent Logic for Multi-Hop Reasoning,"Denys Yuvzhenko, Viacheslaw Chymshyr, Volodymyr Shymkovych, Kyrylo Znova, Grzegorz Nowakowski, Sergii Telenyk (less)",2025,"Information, computing and intelligent systems"
59,Releasing the CRaQAn (Coreference Resolution in Question-Answering): An open-source dataset and dataset creation methodology using instruction-following models,"Grzywinski, Rob, D'Arcy, Joshua, Naidoff, Rob, Shukla, Ashish, Browne, Alex, Gibbons, Ren, Bent, Brinnae (less)",2023,arXiv (Cornell University)
60,SP50. Novel Artificial Intelligence Retrieval-Augmented Generation Model for Hand Surgery,"Berk B. Ozmen, Eugene Pinsky, Graham S. Schwarz",2025,Plastic & Reconstructive Surgery Global Open
61,Guest editorial: Sport business research in the era of artificial intelligence,"Jerred Junqi Wang, Lunhua L. Mao, Brandon Mastromartino",2025,International Journal of Sports Marketing and Sponsorship
62,A Prompt Engineering and Similarity-Based Reordering Approach for Establishing Requirement-to-Code Trace Links,"Yankun Jin, Ye Wang, Wenqing Wang, Qiao Huang, Bo Jiang, Liping Zhao, Hua Zhang, Pei Zheng (less)",2026,SSRN Electronic Journal
63,Cross-Level Requirements Tracing Based on Large Language Models,"Chuyan Ge, Tiantian Wang, Xiaotian Yang, Christoph Treude",2025,IEEE Transactions on Software Engineering
64,Machine learning approaches for automated software traceability: A systematic literature review,"Nouf Alturayeif, Jameleddine Hassine, Irfan Ahmad",2025,Journal of Systems and Software
65,Beyond Retrieval: A Study of Using LLM Ensembles for Candidate Filtering in Requirements Traceability,"Dominik Fuch·, Stefan Schwedt, Jan Keim, Tobias Hey",2025,"Karlsruhe Institute of Technology, Heriot-Watt University Malaysia"
66,A Hybrid Approach Combining Information Retrieval and Large Language Models for Traceability Link Recovery,"Izumi Nagata, Israel Mendonáa, Kaito Utsunomiya, Yuto Takaki, Keisuke Sasaki, Masayoshi Aritsugi (less)",2026,"Kumamoto University, Horiba (Japan), Nikkei Business Publications (Japan)"
67,Can we use LLMs to recover Trace Links between Source Code and Security Requirements?,"Jan-Marc Pa·lack, Alexander Specht, Marc Herrmann, Duaa Adel Ali Elsofi, Marco Ehl, Katharina Gro·er, Jan JÅrjens, Kurt Schneider (less)",2025,"Leibniz University Hannover, Koblenz University of Applied Sciences, Fraunhofer Institute for Software and Systems Engineering"
68,Automated Prompt Engineering for Traceability Link Recovery,"Schwab, Daniel",2025,Repository KITopen (Karlsruhe Institute of Technology)
69,An Empirical Study of Retrieval-Augmented Code Generation: Challenges and Opportunities,"Zezhou Yang, Sirong Chen, Cuiyun Gao, Zhenhao Li, Xing Hu, Kui Liu, Xin Xia (less)",2025,ACM Transactions on Software Engineering and Methodology
70,Tracing Feature Tests to Textual Requirements,"Mahima Dahiya, Mark Li, Glen Horton, Thomas Scherz, Nan Niu",2024,"University of Cincinnati, Avon (United States)"
71,A systematic mapping study on the use of llms for requirements traceability link discovery,"Rizvi, Syed Babar Ali",2025,Trepo - Institutional Repository of Tampere University
72,SpecMap: Hierarchical LLM Agent for Datasheet-to-Code Traceability Link Recovery in Systems Engineering,"Nipane, Vedant, Agrawal, Pulkit, Singh, Amit",2026,arXiv (Cornell University)
73,LiSSA: Toward Generic Traceability Link Recovery through Retrieval-Augmented Generation,"Dominik Fuch·, Tobias Hey, Jan Keim, Haoyu Liu, Niklas Ewald, Tobias Thirolf, Anne Koziolek (less)",2025,Open Research Knowledge Graph (ORKG)
74,Automated formal-specification-to-code trace links recovery using multi-dimensional similarity measures,"Jiandong Li, Shaoying Liu, Zhi Jin",2025,Journal of Systems and Software
75,Analysis of Project-Intrinsic Context for Automated Traceability Between Documentation and Code,"Thirolf, Tobias",2025,Open MIND
76,Single-pass Hierarchical Text Classification with Large Language Models,"Fabian Schmidt, Karin Hammerfald, Henrik Haaland Jahren, Amir H. Payberah, Vladimir Vlassov",2024,"KTH Royal Institute of Technology, University of Oslo"
77,SENTRY-DVL (v1.1.1): A Cascaded Hybrid Guardrail Architecture for Fact-Verification and Regulatory Compliance under the EU AI Act,"Ganter, Joachim",2026,Zenodo (CERN European Organization for Nuclear Research)
78,Prompts Matter: Insights and Strategies for Prompt Engineering in Automated Software Traceability,"Alberto D. Rodriguez, Katherine R. Dearstyne, Jane Cleland-Huang",2023,University of Notre Dame
79,On the Effectiveness of Zero-Shot and Few-Shot Pretrained Language Models for Software Requirement Classification,"Md Shafikuzzaman, Md Rakibul Islam, Shuaib Zaman, Andrew Ma, Anwarul Islam Sifat",2025,"Lamar University, California State University Los Angeles, Fairmont Senior High School"
80,Synergistic enhancement of requirement-to-code traceability: A framework combining large language model based data augmentation and an advanced encoder,"Jianzhang Zhang, Jialong Zhou, Nan Niu, Jinping Hua, Chuang Liu",2026,"Hangzhou Normal University, University of North Florida, Jiangxi Provincial Institute of Water Sciences"
81,Enhancing Power Enterprise Inspection and Supervision: A LoRA-Based Lightweight LLM Framework Integrating Retrieval-Augmented Generation and Prompt Engineering,"Jianfeng Liu, Yongjiao Yang, Kangyi Yang, Changhua Hu, Zijia Xu, Qingguo Shi, Yi Su",2026,"Computers, materials & continua/Computers, materials & continua (Print)"
82,Development and External Validation of a Large Language Model?Based Clinical Decision-Support System for Colonoscopy Surveillance Intervals,"Ashwin Rao, Aman Bali, Vinh Tran, Shaleen Vasavada, Jinna Chu, Fasiha Kanwal, Craig Rusin, Hashem B. El-Serag",2026,"Baylor College of Medicine, The University of Texas Health Science Center at Houston"
83,Enhancing Spectral Knowledge Interrogation: A Reliable Retrieval-Augmented Generative Framework on Large Language Models,"Liang, Jiheng, Xie, Zujie, Yu, Ziru, Yu, Xiangyang",2024,arXiv (Cornell University)
84,An AI-Enhanced Technical Debt Management Framework for Aerospace and Defense Systems Engineering: Framework Design and Illustrative Application,"Zakaria Ouzzif, Shamsnaz V. Bhada",2026,Worcester Polytechnic Institute
85,Vision-Language RAG for Post-AOI PCB Inspection,"Min Sik Byun, Malcolm Yoke Hean Low, David Weidong Lin, Ching Chung Hong, Yoke Chuan Tan, Desmond Pang Ngin Ong",2025,"Singapore Institute of Technology, Venture Chemicals (United States)"
86,A Decision Support System for Rapid Deployment of Emergency Healthcare Facilities for Infectious Disease Using Augmented Large Language Models,"Guanying Huang, Shenghua Zhou, S. Thomas Ng, Hongzhe Yue, Dezhi Li",2026,"City University of Hong Kong, Southeast University"
87,AI-Driven IFC Processing for Automated IBS Scoring,"Annam†ria Beh£nov†, Mat£? Pohorenec, Lucia ?ev?°kov†, Marcel Beh£n",2026,Technical University of Ko?ice
88,Research on Constructing Immersive Learning Environments for Cultural Heritage Based on Retrieval-Augmented Generation and Intelligent Agents,"Fei Liang, Hongyuan Liang, Zipeng Liu",2026,"Beijing City University, DHC Software (China)"
89,Automating Requirements Elicitation using Large Language Models and Speech Processing,"Zahra Fardhosseini, Andrea Ackermann, Beate Oerder",2026,Johann Heinrich von ThÅnen-Institut
90,Epistemological Sequencing as an Architectural Principle: Structural Output Properties of Multi-regime Inference over Large Language Models,Marcelo Manucci,2026,
91,Industrial Applications of Selected JFS Articles,James Giese,2026,Journal of Food Science
